"shop_id","product_id","updated_at","quantity"
4001,4300020111,"2015-01-22",0
4001,4300061921,"2015-06-22",0
4001,4300061921,"2014-09-29",1
4001,4100028718,"2013-07-08",0
4001,4100028718,"2013-06-05",1
4001,4100027822,"2013-05-27",1
4001,4100027822,"2014-07-14",0
4001,4100057621,"2016-04-18",1
4001,4100040349,"2014-01-14",0
4001,4100040349,"2013-05-27",1
4001,4100038730,"2015-04-30",0
4001,4100038730,"2014-12-04",1
4001,4100024475,"2015-04-30",0
4001,4100024475,"2014-12-04",1
4001,4300060710,"2013-11-01",1
4001,4300060710,"2014-01-14",0
4001,4300041086,"2013-09-25",0
4001,4100041277,"2014-12-04",1
4001,4100041277,"2015-08-27",0
4001,4100041280,"2014-12-04",1
4001,4100041280,"2015-08-31",0
4001,4100041280,"2015-08-31",1
4001,4100024192,"2014-11-07",0
4001,4100024192,"2014-05-14",1
4001,4100041464,"2014-04-09",0
4001,4100041275,"2015-08-31",1
4001,4100041275,"2015-08-31",0
4001,4100041275,"2016-07-20",0
4001,4300044151,"2014-09-13",0
4001,4100024540,"2015-01-13",0
4001,4100024540,"2014-12-04",1
4001,4100024514,"2014-01-14",0
4001,4100024514,"2013-11-01",1
4001,4300060708,"2013-06-01",1
4001,4300060708,"2014-01-14",0
4001,4100024956,"2015-08-31",1
4001,4100024956,"2015-08-31",0
4001,4100041078,"2014-03-26",1
4001,4100041078,"2014-08-15",0
4001,4100024598,"2015-08-31",0
4001,4100024598,"2016-02-14",0
4001,4100024598,"2015-08-31",1
4001,4100024598,"2014-12-04",1
4001,4300026465,"2015-09-04",0
4001,4300026465,"2014-10-16",1
4001,4300071155,"2015-07-18",0
4001,4300071155,"2014-10-16",1
4001,4300044372,"2015-08-31",0
4001,4300044372,"2015-12-14",0
4001,4300044372,"2015-08-31",1
4001,4300044372,"2013-05-20",1
4001,4300069196,"2015-08-31",2
4001,4300069196,"2015-08-31",0
4001,4300069196,"2014-06-16",1
4001,4100051994,"2015-08-31",0
4001,4100051994,"2014-03-19",1
4001,4100051994,"2015-08-31",1
4001,4100051994,"2016-01-07",0
4001,4100027667,"2014-12-28",0
4001,4100027667,"2014-06-13",1
4001,4100027814,"2015-08-31",0
4001,4100027814,"2014-05-14",1
4001,4100027814,"2015-08-31",1
4001,4100028130,"2015-07-05",0
4001,4100028130,"2015-08-11",1
4001,4100028130,"2015-12-26",0
4001,4100058965,"2016-02-17",0
4001,4100058965,"2015-12-06",1
4001,4100055802,"2015-08-31",0
4001,4100055802,"2015-08-31",2
4001,4100055802,"2014-03-21",1
4001,4300044217,"2013-06-10",1
4001,4300044217,"2015-08-31",0
4001,4300044217,"2015-08-31",1
4001,4300044217,"2015-12-29",0
4001,4100007014,"2014-03-19",1
4001,4100007014,"2015-08-31",0
4001,4100007014,"2015-08-31",1
4001,4100028333,"2014-03-21",1
4001,4100028333,"2014-10-23",0
4001,4100014658,"2013-11-01",1
4001,4100014658,"2014-01-14",0
4001,4100024442,"2013-01-08",0
4001,4300060709,"2013-11-01",1
4001,4300060709,"2014-01-14",0
4001,4100041658,"2014-03-19",1
4001,4100041658,"2015-03-24",0
4001,4100056235,"2015-02-20",1
4001,4100056235,"2015-07-16",0
4001,4100028388,"2016-03-09",1
4001,4100028388,"2015-01-22",0
4001,4100055804,"2015-11-11",1
4001,4100015765,"2013-08-13",0
4001,4300054325,"2013-02-21",1
4001,4300054325,"2015-01-14",0
4001,4300019338,"2014-08-12",0
4001,4300019338,"2013-02-22",1
4001,4300044660,"2013-12-20",0
4001,4100039878,"2015-08-31",1
4001,4100039878,"2013-08-15",1
4001,4100039878,"2015-08-31",0
4001,4300058692,"2013-10-25",0
4001,4300058692,"2013-02-22",1
4001,4300004977,"2013-08-11",0
4001,4300061449,"2015-08-31",0
4001,4300061449,"2014-03-19",1
4001,4300061449,"2015-08-31",1
4001,4300061449,"2016-09-15",0
4001,4300040617,"2015-04-17",0
4001,4300040617,"2013-04-17",1
4001,4100024575,"2015-08-31",1
